,period_d,rp_re,insol_eflux,eq_temp,teff_k,logg_cgs,rstar_rsun,ra_deg,dec_deg,mission,label,star_key
2706,1.5339665,4.28924,3012.65,2063.0,6694.0,4.02,1.92,94.409738,-9.631072,TESS,,94.40974_-9.63107
2707,2.3933087,2.03235,6511.62,2502.0,6393.0,4.08,1.72,93.509715,-20.997714,TESS,,93.50972_-20.99771
2708,2.5577037,3.9587,1478.98,1727.0,6039.0,4.03,1.7,94.027709,-21.279477,TESS,,94.02771_-21.27948
2709,6.3951381,2.10043,323.891,1181.0,5563.0,4.45,0.98,86.719534,-17.029089,TESS,,86.71953_-17.02909
2710,5.9016526,13.6737,826.195,1493.0,6127.0,4.02,1.74,89.293899,-18.672245,TESS,,89.2939_-18.67224
2711,5.4927168,18.5905,14464.4,,9623.0,4.08,2.37,109.0444,-17.453065,TESS,,109.0444_-17.45306
2712,6.8979432,2.18563,239.133,1095.0,6016.0,4.49,0.99,105.44485,-34.919687,TESS,,105.44485_-34.91969
2713,6.9551801,2.29124,38.0097,691.0,4742.0,4.57,0.75,97.891717,-23.951598,TESS,,97.89172_-23.9516
2714,1.0021853,5.0155627,1409.4020834,1562.7103079,5071.0,4.48308,0.874822,57.553653,-63.053919,TESS,,57.55365_-63.05392
2715,2.0944084,1.39836,3407.6,2128.0,5298.0,4.62,0.77,106.841463,-11.436773,TESS,,106.84146_-11.43677
2716,5.563087,9.04133,494.188,1313.0,5491.4,3.85,1.72,93.529144,-8.062309,TESS,,93.52914_-8.06231
2717,2.0988541,1.66554,2840.05,2033.0,5531.0,4.45,0.97,107.118513,-12.147866,TESS,,107.11851_-12.14787
2718,4.6410823,2.86438,344.881,1200.0,5809.0,4.36,1.12,95.809871,-11.348617,TESS,,95.80987_-11.34862
2719,8.011385,11.7844,429.98,1268.0,5923.0,4.25,1.29,270.134849,-65.613808,TESS,,270.13485_-65.61381
2720,2.3018922,12.146,4411.81,2270.0,6919.0,3.54,3.45,136.653301,-50.48045,TESS,,136.6533_-50.48045
2721,11.7248927,8.72604,206.968,1056.0,5980.0,4.56,0.91,188.834597,-18.029479,TESS,,188.8346_-18.02948
2722,3.5104148,1.328654,64.709886,723.3731892,4020.0,4.438,0.639371,14.318503,-51.585251,TESS,,14.3185_-51.58525
2723,,11.1787,4.48015,405.0,4490.0,4.55,0.74,16.772687,-68.368103,TESS,,16.77269_-68.3681
2724,8.1484094,10.1405034,91.987019,789.8623006,5320.0,4.52,0.873132,52.531218,-60.875623,TESS,,52.53122_-60.87562
2725,16.7224532,9.46753,44.9403,721.0,5560.0,4.54,0.88,201.167653,-19.89616,TESS,,201.16765_-19.89616
2726,6.6857865,9.65352,171.835,1008.0,6144.3,4.4,1.13,212.638797,26.42343,TESS,,212.6388_26.42343
2727,,12.0956,174.059,1011.0,6421.5,4.12,1.64,338.644613,-57.570425,TESS,,338.64461_-57.57042
2728,16.4452725,9.85518,17.053,566.0,5278.0,4.51,0.88,185.529463,-24.943187,TESS,,185.52946_-24.94319
2729,31.9919595,,25.6823585,574.154107,5780.0,4.438,,90.963936,-39.546448,TESS,,90.96394_-39.54645
2730,2.9103781,12.2597,4501.88,2282.0,7340.8,4.09,3.5,95.226318,-7.29894,TESS,,95.22632_-7.29894
2731,0.985586,5.2012051,4763.4215785,2118.8465446,5799.4,4.11,1.38013,93.038442,-30.787931,TESS,,93.03844_-30.78793
2732,12.7187255,2.5924633,12.2599233,477.2453303,4036.3,4.65,0.661076,82.558548,-42.697946,TESS,,82.55855_-42.69795
2733,22.0819969,2.28729,5.94816,435.0,4036.3,4.65,0.66,82.558548,-42.697946,TESS,,82.55855_-42.69795
2734,1.4118418,8.14924,11077.2,2858.0,7839.6,4.13,3.52,80.508824,-25.722355,TESS,,80.50882_-25.72236
2735,4.1133928,,395.7513853,1137.5627449,5780.0,4.438,,120.556913,-23.523374,TESS,,120.55691_-23.52337
2736,2.1811989,18.7156,149.461,974.0,6125.96,4.17403,1.46,120.969221,11.135462,TESS,,120.96922_11.13546
2737,4.8580501,,1349.9017874,1545.9494627,8303.0,4.438,,121.98269,-44.666911,TESS,,121.98269_-44.66691
2738,5.436841,7.79881,560.394,1355.0,7980.0,4.37685,1.49,112.515604,-11.79048,TESS,,112.5156_-11.79048
2739,2.3701119,3.0793796,122.1390568,847.8780456,4007.0,4.56359,0.684741,115.918702,-10.257081,TESS,,115.9187_-10.25708
2740,8.3848067,11.5945537,181.6699451,936.3549718,5757.5,4.29,1.02264,121.852319,-49.602939,TESS,,121.85232_-49.60294
2741,8.0149323,9.5021286,320.0737304,1078.778438,5886.2,4.25,1.3302799,128.702871,8.569483,TESS,,128.70287_8.56948
2742,9.8302309,27.5606205,1527.8873209,1594.5662998,6683.6,,2.86532,119.245948,-49.473563,TESS,,119.24595_-49.47356
2743,17.7859152,12.0078948,99.4145767,805.3455558,5834.0,4.25,1.38395,128.24579,-25.256245,TESS,,128.24579_-25.25624
2744,4.2002507,14.9915,236.94,1093.0,5709.9,4.53,0.91,312.011689,-35.842605,TESS,,312.01169_-35.8426
2745,3.5511203,13.8379,258.816,1117.0,5321.0,4.42,0.98,332.759205,-27.295719,TESS,,332.7592_-27.29572
2746,2.7754004,15.2778,966.571,1553.0,5905.0,4.05,1.62,318.600471,66.404803,TESS,,318.60047_66.4048
2747,4.0483695,13.766,413.846,1256.0,6054.0,4.3,1.24,292.018975,77.378608,TESS,,292.01898_77.37861
2748,5.0182311,13.248,112.463,907.0,5487.0,4.41,1.02,310.743276,70.275792,TESS,,310.74328_70.27579
2749,3.7257237,11.5792771,553.4075728,1237.0322556,5698.0,4.33,1.1429501,123.272901,9.447684,TESS,,123.2729_9.44768
2750,3.9704457,11.7222736,1506.4365626,1588.9398662,5840.0,3.9,1.89732,117.047514,2.123685,TESS,,117.04751_2.12368
