,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
1617,11.2901559,0.0006136,-0.0006136,135.3964,0.0526,-0.0526,0.6285,0.3256,-0.4156,10.475,0.924,-0.924,163.8,22.9,-22.9,0.88,0.12,-0.08,617.0,34.17,17.51,-9.46,8.6,5025.0,187.0,-168.0,4.609,0.061,-0.061,0.657,0.094,-0.059
1618,28.24753303,0.0034926560268384323,-0.0034926560268384323,136.0869137,0.016470875093934516,-0.016470875093934516,0.6529696,1.4932516908212559,-0.35401771336553944,13.2,0.529218105206656,-0.529218105206656,1370.7516266666667,46.847181964573274,-46.847181964573274,97.899936,23.886512000000003,-27.67783466666667,816.0997333333333,1284.4245604688335,897.3814064997338,-630.5632019179541,30.546079999999996,5671.069866666667,142.71054039593366,-158.69662921348313,4.3074981333333335,0.11811878009630819,-0.15433921883360088,1.6355157333333334,0.36884644194756555,-0.3388432316746923
1619,7.1356633,5.457e-05,-5.457e-05,135.09646,0.00666,-0.00666,0.735,0.237,-0.524,1.789,0.202,-0.202,255.5,32.6,-32.6,1.38,0.1,-0.14,751.0,75.39,22.57,-21.14,9.8,4926.0,148.0,-148.0,4.522,0.084,-0.045,0.793,0.059,-0.078
1620,14.5909249,0.0002285,-0.0002285,142.72,0.0131,-0.0131,0.3084,0.1822,-0.3084,1.591,0.419,-0.419,146.9,32.0,-32.0,0.93,0.43,-0.1,622.0,35.34,50.41,-10.05,6.3,5214.0,163.0,-139.0,4.527,0.076,-0.076,0.766,0.356,-0.082
1621,11.8496351,0.0002042,-0.0002042,140.3663,0.0127,-0.0127,0.607,0.366,-0.394,3.319,0.372,-0.372,183.8,22.6,-22.6,1.31,0.4,-0.13,802.0,97.71,87.81,-28.47,9.6,6032.0,180.0,-198.0,4.508,0.05,-0.2,0.929,0.278,-0.093
1622,455.62395,0.02622,-0.02622,581.8806,0.0239,-0.0239,0.335,0.126,-0.335,13.07,0.794,-0.794,1112.1,92.7,-92.7,3.0,0.87,-0.3,228.0,0.64,0.56,-0.19,14.0,5883.0,165.0,-206.0,4.53,0.048,-0.204,0.892,0.26,-0.087
1623,1.75173647,3.763e-05,-3.763e-05,132.2995,0.021,-0.021,0.6637,0.2752,-0.4477,5.122,0.675,-0.675,68.4,8.2,-8.2,3.86,0.53,-1.36,4900.0,136315.31,57819.63,-88097.08,10.2,10894.0,261.0,-461.0,3.667,0.303,-0.303,4.378,0.605,-1.539
1624,407.14656,0.05896,-0.05896,509.257,0.0743,-0.0743,0.7466,0.0484,-0.5277,23.26,3.7,-3.7,82.3,12.2,-12.2,1.18,0.49,-0.22,272.0,1.29,1.66,-0.54,8.2,5845.0,181.0,-197.0,4.282,0.162,-0.162,1.198,0.503,-0.22
1625,487.83894,0.06753,-0.06753,606.1226,0.0192,-0.0192,0.1252,0.3226,-0.1252,32.77,1.5,-1.5,453.3,42.6,-42.6,3.94,2.55,-1.93,298.0,1.88,3.96,-1.46,8.8,5421.0,189.0,-179.0,3.882,0.539,-0.539,1.877,1.215,-0.922
1626,6.853888,0.0003933,-0.0003933,136.5231,0.0732,-0.0732,0.469,0.501,-0.263,2.561,0.313,-0.313,653.8,96.0,-96.0,1.74,0.06,-0.14,613.0,33.32,7.5,-9.22,8.2,4199.0,146.0,-161.0,4.609,0.046,-0.018,0.684,0.023,-0.055
