,star_key
319,297.31006_49.70304
320,287.36182_38.71402
321,290.94437_38.53887
322,298.9917_41.07499
323,291.82181_41.11269
324,296.86099_41.09734
325,296.86099_41.09734
326,294.16321_41.4518
327,299.39972_45.31605
328,286.49042_38.37491
329,286.49042_38.37491
330,291.6069_38.34806
331,287.44409_38.08843
332,292.27905_38.28453
334,296.13391_38.99901
335,293.92599_38.73798
336,286.86926_39.10373
338,292.71964_48.85202
339,284.02679_49.41543
340,298.80411_40.84356
341,295.59872_50.72067
343,291.76196_37.09864
344,295.58658_45.36498
345,290.51047_41.24482
346,290.51047_41.24482
347,290.51047_41.24482
348,290.51047_41.24482
349,290.60794_41.20109
351,291.97617_38.05508
352,291.97617_38.05508
353,290.13492_38.40422
354,291.42358_38.21659
355,295.29193_38.96459
356,291.44507_38.63721
357,285.08026_39.18211
359,294.74054_39.01551
360,300.51712_44.38158
361,289.87411_49.68549
362,291.0488_36.83988
363,298.44775_47.265
364,291.92596_38.01412
365,291.92596_38.01412
368,288.44287_41.17218
369,293.2735_41.25769
370,298.13794_41.33436
371,286.49072_37.48998
372,290.88467_38.05757
374,294.49011_38.19413
375,293.80441_38.63913
376,293.80441_38.63913
377,300.51712_44.38158
379,291.36478_37.60917
380,291.36478_37.60917
381,296.38229_48.04531
382,296.38229_48.04531
383,285.24084_46.66825
385,296.68045_41.38652
386,293.08463_41.13544
387,293.08463_41.13544
388,293.08463_41.13544
389,294.49011_38.19413
390,297.75708_41.68045
391,290.35294_41.76974
392,298.71152_41.63579
393,292.23679_41.7393
394,296.29855_41.60272
398,291.69247_38.5729
399,300.51712_44.38158
400,293.56815_39.03632
401,293.47363_46.9704
402,296.49612_47.18286
403,291.49942_37.05928
405,293.08463_41.13544
406,299.15353_40.28696
407,290.1315_41.3815
408,297.98123_41.44487
409,299.0209_44.17276
411,294.1434_39.08978
412,299.13922_40.94902
413,294.02725_41.67597
414,297.75311_41.67599
415,290.21518_41.77597
416,291.07126_38.99904
417,294.07071_38.98133
419,294.61893_38.61189
420,293.87363_38.92248
422,293.71075_38.98361
423,293.67657_38.99138
424,290.77863_37.56408
425,289.87347_43.20384
426,295.03925_44.19106
429,287.5932_44.17942
430,290.21518_41.77597
431,291.43329_41.70344
432,287.27264_41.63556
433,282.60336_44.28698
435,292.92276_38.47728
437,292.47971_38.51492
438,292.47971_38.51492
439,292.47971_38.51492
440,291.38269_37.07299
441,292.46976_37.56779
442,292.46976_37.56779
443,291.07446_37.74439
444,292.04462_37.37624
445,287.5932_44.17942
446,294.48438_44.16691
447,294.48438_44.16691
448,294.99734_44.32139
449,299.13922_40.94902
450,284.51962_44.45394
451,284.51962_44.45394
452,301.40067_44.31804
