,period_d,rp_re,insol_eflux,eq_temp,teff_k,logg_cgs,rstar_rsun
0,-0.30265582098510585,-0.028398167852395257,-0.07100303731429526,0.25903275962286143,0.4016207665620991,0.26752034201644437,-0.10065751706812502
1,-0.2265724047982589,-0.027975086370208624,-0.08122845787488875,-0.45672013966875646,0.4160238951919456,0.3925903138751334,-0.11572433073805984
2,-0.28837058673035143,-0.02839080991357462,-0.07728574441192448,-0.04933013569366747,0.4160238951919456,0.3925903138751334,-0.11572433073805984
3,-0.30229179890157576,-0.028824928303992203,-0.072495481145916,0.20137140521407962,0.4160238951919456,0.3925903138751334,-0.11572433073805984
4,-0.2597142761673493,-0.014984645382373932,-0.07300615353282085,0.17880826653238238,0.5898216473254266,-0.9102218929862081,0.08503078113431473
5,-0.30314398493616346,-0.0246125083291775,-0.073078746646063,0.1750477434187662,0.19901675716892517,0.31702720587717576,-0.11735317545913387
6,-0.3055047672698205,-0.023486743689620032,-0.03038668633647034,1.0637847059367296,0.7943460738692467,-0.8242362873333597,0.0838091475935092
7,-0.2921462071784417,-0.028983123988635902,-0.07636812208984792,0.008331218715114365,0.21149946864812547,0.18674598519104194,-0.10554405123134712
8,-0.22277987385168013,0.02596228415447119,-0.08171909153782571,-0.5595077714409328,0.17501154278584768,0.5697727740082773,-0.14097142391470735
9,-0.1527896906070231,-0.026768384403624154,-0.08245245842316612,-0.847814543484842,-0.547065305857123,0.6661808773160165,-0.17517716305726203
10,-0.15441057721441392,-0.011276244216772865,-0.08197001669141099,-0.6284506951905633,0.4841987040398857,0.418646558012362,-0.12081447049141619
11,-0.17884213772373392,-0.026488782728439946,-0.08230223100826223,-0.757561988758053,-0.4424025711469052,0.47336467070053817,-0.1535949705030311
12,-0.24273910028836965,-0.028501178995884176,-0.08214797064262265,-0.6898725727129613,-0.7266243094425426,0.6453358820062349,-0.17191947361511398
13,-0.2715456821750992,-0.028361378158292073,-0.08204475230973146,-0.6535208492813379,-1.0329308449706114,0.8147014688982083,-0.17680600777833605
14,-0.3011394420003196,-0.028828607273402525,-0.07882721380092575,-0.1671598599203086,-0.5989165689245703,0.4394915533221412,-0.14687598602860072
15,-0.2775813104853569,-0.028471747240601628,-0.08054562890345478,-0.3514254924875027,-0.41071568816124293,0.2727315908438915,-0.12834787732638359
16,-0.29008767135654306,-0.0287844596404787,-0.07948496285997225,-0.2273282297381679,-0.41071568816124293,0.2727315908438915,-0.12834787732638359
17,-0.25307922209266304,-0.028931618416891444,-0.08145253870013969,-0.5005929093276122,-0.41071568816124293,0.2727315908438915,-0.12834787732638359
18,3.1076429669963104,-0.014142161387410992,-0.08265221551429251,-1.131107284710596,-0.06696101819557336,-0.6626875736825526,0.008067868063566689
19,-0.28071366096345707,-0.028387130944164302,-0.08057133896439471,-0.3539325078965802,-0.26284356756148564,0.5645615251808302,-0.1411750295048416
20,-0.28706953170343324,-0.02856372147585959,-0.07955150654711089,-0.2348492759654003,0.03002004791205968,0.5958290181455036,-0.14443271894698967
21,-0.31170583146836334,-0.02774331129735856,-0.06939036113886722,0.31669411403164327,0.09723464818467663,0.59322339373178,-0.14443271894698967
22,0.21882616523578535,-0.014741833401292911,-0.08248094113773681,-0.8703776821665392,0.5101243355736094,0.1737178631224288,-0.09149526551208359
23,0.015680705648299518,-0.02837241506652303,-0.08244187192748496,-0.8402934972576095,-0.12649394986560553,0.08773225746957922,-0.10269357296946756
24,-0.03536385141973288,-0.028173750718365826,-0.08247942878121094,-0.8691241744620004,-0.025672049456680085,0.5854065204906117,-0.15115170342142004
25,0.4897918881572601,-0.028629942925245323,-0.08262600133451063,-1.0533898070291945,-0.025672049456680085,0.5854065204906117,-0.15115170342142004
26,-0.2810462794908442,-0.02491786279023394,-0.0782719268965075,-0.12078007485237538,0.09531423103403043,0.06167601333235291,-0.09332771582329186
27,-0.3010957816740137,-0.027003838445884536,-0.07602343083165819,0.028387341987734134,-0.06023955816831166,0.3456890744281256,-0.12834787732638359
28,-0.28513562959432753,-0.028637300864065962,-0.07776503540091735,-0.08317484371621332,0.4438699438763155,0.3925903138751334,-0.11633514750846259
29,-0.1505941164902044,-0.024840604432617246,-0.08183062783160923,-0.5883384486453237,0.44290973530099237,0.1450559945714789,-0.09719622203584272
30,0.04286913925371145,-0.027386451264557663,-0.08246468330508362,-0.856589097416613,-0.1389766613448058,0.08252100864213442,-0.10065751706812502
