koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
670.645531,0.001237,-0.001237,0.701,0.004,-0.005,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,,,0.35,0.15,-0.06,642.7,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,296.69861,49.316479,15.207
61.2563628,0.000156,-0.000156,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,,,15.43,14.85,-5.51,85.3,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,283.72592,49.479519,15.25
38.3775486,0.0001602,-0.0001602,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,,,18.53,6.72,-4.93,34.7,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,291.72202,49.480869,15.172
6.252962249,9.577e-06,-9.577e-06,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,,,108.3,15.73,-23.44,47.1,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
16.01308419,4.854e-05,-4.854e-05,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,,,29.31,11.77,-8.24,33.2,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,0.091,-0.082,297.02563,48.478588,15.39
91.7732862,0.0007518,-0.0007518,0.606,0.335,-0.4,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,,,3.92,2.64,-1.06,19.1,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,285.71854,48.505859,15.082
4.959319244,5.15e-07,-5.15e-07,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,,,349.4,146.52,-93.21,696.5,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263
2.701287801,5.634e-06,-5.634e-06,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,,,527.81,411.33,-166.35,48.3,5550.0,182.0,-182.0,4.468,0.091,-0.169,0.91,0.228,-0.105,297.92365,48.777321,15.54
4.49876511,1.777e-05,-1.777e-05,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,,,389.62,365.71,-117.4,29.5,6075.0,189.0,-210.0,4.486,0.052,-0.208,0.969,0.3,-0.1,298.45685,48.791592,15.395
19.651209505,5.862e-06,-5.862e-06,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,,,67.03,62.46,-23.51,513.4,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
